i,x,typ
280,0.517322,1
280,0.19068,2
280,0.0438952,2
280,0.0247147,2
280,0.0358311,2
280,0.0450937,2
281,0.326714,1
281,0.175937,2
281,0.340138,2
281,0.013069,2
281,0.013069,2
282,0.57876,1
282,0.0134365,2
283,0.668546,1
283,0.18071,2
283,0.0512397,-1
284,0.364509,1
284,0.496702,2
285,0.456619,1
285,0.147506,2
285,0.0134747,2
285,0.0175786,2
286,0.196662,1
286,0.0147841,2
286,0.0147047,2
286,0.345476,2
286,0.0180153,-1
286,0.0180153,2
287,0.928356,1
287,0.0109583,2
288,0.356107,1
288,0.303131,-1
288,0.0154481,2
288,0.0136966,2
288,0.0365858,1
288,0.0464135,-1
288,0.0276964,2
289,0.854315,1
289,0.018559,2
289,0.018559,2
290,0.504487,1
290,0.0214626,2
290,0.0817238,2
290,0.0124746,2
290,0.0124746,2
290,0.161283,2
291,0.438803,1
291,0.0163935,2
291,0.0623475,1
291,0.0476758,2
291,0.173715,2
291,0.0140365,2
292,0.884071,1
292,0.0161827,2
292,0.0161827,2
293,0.638932,1
293,0.031831,2
293,0.0360645,1
293,0.0114823,2
293,0.016089,2
293,0.016089,2
294,0.170826,1
294,0.236654,1
294,0.0181768,2
294,0.0315208,-1
294,0.0315208,2
294,0.0203112,-1
294,0.0203112,2
294,0.0109177,1
294,0.0109177,2
294,0.0118364,-1
294,0.0118364,2
294,0.0158802,-1
295,0.854587,1
296,0.640799,1
296,0.022956,1
296,0.0106403,2
297,0.272241,1
297,0.0317877,2
297,0.0475913,2
297,0.0269738,2
297,0.0103333,2
297,0.0103333,2
297,0.0570048,2
298,0.778515,1
298,0.0237192,2
298,0.0122628,1
299,0.246772,1
299,0.340352,2
299,0.01282,2
299,0.01282,2
299,0.0264365,2
299,0.0249453,2
299,0.0106411,2
299,0.0106411,2
299,0.0346875,2
299,0.026108,2
300,0.154792,1
300,0.0151919,2
300,0.209349,2
300,0.0314623,2
300,0.0129522,2
300,0.0110002,2
300,0.0110002,2
300,0.0166656,-1
300,0.0166656,2
301,0.708235,1
