i,x,typ
188,0.224053,2
188,0.00166747,2
188,0.00507327,2
188,0.0359219,2
188,0.00116205,-1
188,0.00108741,1
189,0.513918,1
189,0.00645864,2
189,0.00124345,2
189,0.00659982,2
189,0.253429,2
189,0.00213677,2
189,0.00709599,1
189,0.0173213,1
189,0.00271678,-1
189,0.00158389,-1
189,0.00999085,2
189,0.00373641,2
189,0.00194383,2
189,0.00134354,2
189,0.00103239,2
189,0.00107067,2
190,0.852999,1
190,0.0822044,2
191,0.402899,1
191,0.481609,-1
191,0.0710473,1
192,0.739275,1
192,0.0677004,2
192,0.00273355,2
192,0.0183887,2
192,0.0370391,2
192,0.01857,2
192,0.0095972,2
192,0.00901656,2
193,0.806875,1
193,0.0749352,1
193,0.0036393,1
193,0.00269018,-1
193,0.0118049,2
193,0.00101426,2
193,0.00390692,2
193,0.00568282,-1
193,0.00119907,-1
194,0.927822,1
194,0.00929845,-1
194,0.00339753,-1
194,0.001764,2
195,0.880031,1
195,0.0484427,2
195,0.00456691,2
195,0.00301373,2
195,0.00458914,1
196,0.722009,1
196,0.0598107,2
196,0.0260791,2
196,0.0325234,2
196,0.00520928,2
196,0.00788653,2
196,0.00814172,2
196,0.00171571,2
196,0.00260028,1
196,0.00393481,2
196,0.00127481,2
196,0.00175493,2
197,0.666749,1
197,0.0234206,2
197,0.00526563,2
197,0.0042841,2
197,0.100461,2
197,0.0202663,2
197,0.0241591,2
197,0.00754001,2
197,0.00598091,2
197,0.00153439,2
197,0.00138358,2
198,0.884692,1
198,0.00316817,2
198,0.00372159,2
198,0.0024141,2
198,0.0350802,2
198,0.0063795,2
199,0.820381,1
199,0.00236855,2
199,0.0249813,2
199,0.0038078,2
199,0.00409885,2
199,0.00171136,2
199,0.00174944,1
199,0.00189073,-1
200,0.878275,1
200,0.0239914,2
201,0.93623,1
201,0.00157426,2
202,0.848961,1
202,0.00872799,2
202,0.0126514,2
202,0.00888594,2
202,0.00105677,2
202,0.00822276,1
202,0.00122223,1
203,0.671673,1
203,0.00179291,2
203,0.128579,2
203,0.00143779,2
203,0.00244264,2
203,0.00496312,-1
203,0.0180766,2
203,0.00960016,2
203,0.00300829,2
203,0.00852171,2
203,0.00273041,2
203,0.00324522,2
203,0.00387901,2
203,0.00166706,2
203,0.00195939,2
203,0.00170208,2
203,0.00172931,2
204,0.829652,1
204,0.0336152,2
204,0.0434481,2
204,0.00570895,2
204,0.0380018,1
204,0.00198923,2
204,0.00322747,1
205,0.901373,1
205,0.00285125,1
205,0.0014,2
205,0.0054658,-1
205,0.00221431,2
205,0.0017672,2
205,0.00431458,-1
205,0.00222083,1
205,0.00124134,2
206,0.939159,1
206,0.00281775,-1
207,0.795821,1
207,0.0143481,2
207,0.00634799,2
207,0.0859361,2
